F4625204D1E2BDC47760088759E4E2889DE5A09B	64
57667279972205462DA427535A75A913574F2798	32732	 shared
E1A717946EF390D9CA1182DAE6CBBB61F0ACB0CF	27796	 shared
AD64238ED01859738EFB2CF0BAB238ED55A6D70B	15352	 shared
7BC0B155319DF92D31FA6063A3E95661552D0EFB	10808	 shared
6141C36F825A62093B4BA28B07054680ECD469A7	171900	 shared
80D70496E2834E116C15449EF1BE16DAA7CE6267	360460	 shared
41F6574294B4B35E6E401435A20CBDC09E36F53F	62896	 shared
D1F60D8643C8DCB472D8415A2E458A64BC5D14DC	447920	 shared
1D185355815BF64C45717135E654033BAB0C93BC	42572	 shared
AA6B000147DD12C838E40E58B25D3F5F510585F8	30584	 shared
FF380D0188FD0730BAF837D4783EA6A18C847B27	19184	 shared
9A8D1FCD38B722CC6B6ABA3FF2123C007C82E519	28472	 shared
43111956A2A12733A49C889E74E685A75EBDF156	357068	 shared
D9DC9B471113BE2E79740F92C5CB378B344ABE3C	161028	 shared
