08CF9C981481F9AF625DD84DE34E61B47AA5D585	64
4E04E88EC7250DE84A1E788AE69FDAD9351330A8	33368	 shared
E1A717946EF390D9CA1182DAE6CBBB61F0ACB0CF	27796	 shared
3BC9E416D3FA86D0A099B82ECE0AA7EFF8F59A68	15352	 shared
EB3DBEA9DCBF57E446354AE2BDE1D88C656C90A7	10896	 shared
00EF2F8BBCD208EB5E64CD916554405AD34ECFD5	172344	 shared
E473FDA035151240D6A6F53C50369D2414C36F4D	373156	 shared
41F6574294B4B35E6E401435A20CBDC09E36F53F	62896	 shared
D1F60D8643C8DCB472D8415A2E458A64BC5D14DC	447920	 shared
1D185355815BF64C45717135E654033BAB0C93BC	42572	 shared
AA6B000147DD12C838E40E58B25D3F5F510585F8	30584	 shared
FF380D0188FD0730BAF837D4783EA6A18C847B27	19184	 shared
9A8D1FCD38B722CC6B6ABA3FF2123C007C82E519	28472	 shared
5137D0393C98097F0D59706D1CEEC22F7548D60C	521008	 shared
A7999A25995606CC76EF8C1EC65EF9138A672FCF	168920	 shared
